WMO_index,Station,Latitude,Longitude,Region
89050,Беллинсгаузен,-62.1997222222,-58.8936111111,
89575,Дружная-4,-69.7419444444,73.7058333333,
89657,Ленинградская,-69.5011111111,159.3855555556,
89592,Мирный (89592-0),-66.5519444444,93.0147222222,
89542,Молодёжная,-67.6597222222,45.8513888889,
MIR,Мирный,-66.5500030518,93.0,
89512,Новолазаревская,-70.7677777778,11.8316666667,
NLZ,Новолазаревская-Форстер,-70.7699966431,11.8699998856,
89601,Оазис Бангера,-66.2744444444,100.7461111111,
89574,Прогресс,-69.3780555556,76.3905555556,
89132,Русская,-74.7594444444,-136.7927777778,
89606,Восток,-78.4641666667,106.8658333333,
VST,Восток,-78.2699966431,106.5100021362,
29862,Абакан,53.7666666667,91.3166666667,21
29485,Абан,56.6816666667,96.0575,10
29467,Ачинск,56.2833333333,90.5166666667,10
23383,Агата,66.926111,93.4925,10
24684,Агаякан,63.3333333333,141.7333333333,54
29676,Агинское (29676-0),55.27,94.8997222222,10
30859,Агинское (30859-0),51.1,114.5166666667,11
31825,Агзу,47.6,138.4,82
25042,Айон,69.9186111111,167.9688888889,78
35037,Акъяр,51.8730555556,58.2230555556,83
35127,Ак-Булак,51.0166666667,55.6333333333,81
30957,Акса,50.2666666667,113.2666666667,11
28719,Аксаково,54.0247222222,54.1472222222,83
28248,Алапаевск,57.8666666667,61.7,12
31004,Алдан,58.6166666667,125.3666666667,54
29937,Алейская,52.5166666667,82.7666666667,1
32061,Александровск-Сахалинский,50.9,142.1666666667,53
29059,Александровский Шлюз,59.4347222222,89.2861111111,10
30971,Александровский Завод,50.9166666667,117.9333333333,11
23955,Александровское,60.4333333333,77.8666666667,24
25916,Алевина (мыс),58.8333333333,151.35,
23939,Алтай,60.3333333333,68.9666666667,6
29894,Алыгдзер,53.6333333333,98.2166666667,14
30682,Амазар,53.8666666667,120.8666666667,11
23022,Амдерма,69.7833333333,61.6577777778,
24962,Амга,60.9,131.9833333333,54
21608,Анабар,73.2166666667,113.5,
25563,Анадырь,64.7833333333,177.5666666667,
29674,Анастасино,55.1219444444,93.3838888889,10
25017,Андрюшкино,69.1666666667,154.5,54
30715,Ангарск,52.4833333333,103.85,14
23058,Антипаюта,69.1038888889,76.8580555556,69
31981,Анучино,43.9666666667,133.0666666667,82
25956,Апука,60.4333333333,169.6666666667,74
31594,Архара,49.4166666667,130.0833333333,38
24988,Арка,60.0833333333,142.3333333333,77
29772,Артемовск,54.3475,93.435,10
28346,Артемовский,57.3666666667,61.9166666667,12
28522,Аскино,56.1102777778,56.5736111111,83
31921,Астраханка,44.7166666667,132.0666666667,82
28908,Авангард Зерносовхоз,52.6166666667,51.2833333333,20
31168,Аян,56.45,138.15,77
30822,Бабускин,51.7083333333,105.8519444444,31
29827,Баево,53.2772222222,80.7783333333,1
30554,Багдарин (30554-0),54.4416666667,113.5805555556,31
30554,Багдарин (30554-1),54.4666666667,113.5833333333,31
30557,Багдарин (РС),54.4666666667,113.5833333333,31
23776,Бахта,62.4638888889,89.005,10
25335,Баимка,66.5333333333,164.2833333333,78
30627,Баяндай,53.1,105.5333333333,14
23891,Байкит,61.6666666667,96.3666666667,10
28615,Бакалы,55.1830555556,53.79,83
29328,Бакчар,57.0072222222,82.0625,24
30612,Балаганск,54.0,103.0666666667,14
29662,Балахта,55.385,91.6216666667,10
29612,Барабинск,55.3544444444,78.3083333333,49
30636,Баргузин,53.6166666667,109.6333333333,31
29838,Барнаул (29838-0),53.4333333333,83.5166666667,1
29839,Барнаул (29839-0),53.5,83.8333333333,1
24263,Батагай,67.65,134.6833333333,54
24261,Батагай-Алыта,67.8,130.3833333333,54
24656,Батамай,63.5166666667,129.4833333333,54
30457,Баунт,55.2633333333,113.1388888889,31
29962,Бея (29962-0),53.05,90.9166666667,21
24194,Белая Гора,68.55,146.2166666667,54
35125,Беляевка,51.4166666667,56.4166666667,81
31513,Белогорск,50.9166666667,128.4666666667,38
28831,Белоречк,53.9691666667,58.3558333333,83
29745,Белово,54.4555555556,86.3486111111,76
