WMO_index,lat,lng,region_id
89050,-62.1997222222,-58.8936111111,
89575,-69.7419444444,73.7058333333,
89657,-69.5011111111,159.3855555556,
89592,-66.5519444444,93.0147222222,
89542,-67.6597222222,45.8513888889,
MIR,-66.5500030518,93.0,
89512,-70.7677777778,11.8316666667,
NLZ,-70.7699966431,11.8699998856,
89601,-66.2744444444,100.7461111111,
89574,-69.3780555556,76.3905555556,
89132,-74.7594444444,-136.7927777778,
89606,-78.4641666667,106.8658333333,
VST,-78.2699966431,106.5100021362,
29862,53.7666666667,91.3166666667,21
29485,56.6816666667,96.0575,10
29467,56.2833333333,90.5166666667,10
23383,66.926111,93.4925,10
24684,63.3333333333,141.7333333333,54
29676,55.27,94.8997222222,10
30859,51.1,114.5166666667,11
31825,47.6,138.4,82
25042,69.9186111111,167.9688888889,78
35037,51.8730555556,58.2230555556,83
35127,51.0166666667,55.6333333333,81
30957,50.2666666667,113.2666666667,11
28719,54.0247222222,54.1472222222,83
28248,57.8666666667,61.7,12
31004,58.6166666667,125.3666666667,54
29937,52.5166666667,82.7666666667,1
32061,50.9,142.1666666667,53
29059,59.4347222222,89.2861111111,10
30971,50.9166666667,117.9333333333,11
23955,60.4333333333,77.8666666667,24
25916,58.8333333333,151.35,
23939,60.3333333333,68.9666666667,6
29894,53.6333333333,98.2166666667,14
30682,53.8666666667,120.8666666667,11
23022,69.7833333333,61.6577777778,
24962,60.9,131.9833333333,54
21608,73.2166666667,113.5,
25563,64.7833333333,177.5666666667,
29674,55.1219444444,93.3838888889,10
25017,69.1666666667,154.5,54
30715,52.4833333333,103.85,14
23058,69.1038888889,76.8580555556,69
31981,43.9666666667,133.0666666667,82
25956,60.4333333333,169.6666666667,74
31594,49.4166666667,130.0833333333,38
24988,60.0833333333,142.3333333333,77
29772,54.3475,93.435,10
28346,57.3666666667,61.9166666667,12
28522,56.1102777778,56.5736111111,83
31921,44.7166666667,132.0666666667,82
28908,52.6166666667,51.2833333333,20
31168,56.45,138.15,77
30822,51.7083333333,105.8519444444,31
29827,53.2772222222,80.7783333333,1
30554,54.4416666667,113.5805555556,31
30554,54.4666666667,113.5833333333,31
30557,54.4666666667,113.5833333333,31
23776,62.4638888889,89.005,10
25335,66.5333333333,164.2833333333,78
30627,53.1,105.5333333333,14
23891,61.6666666667,96.3666666667,10
28615,55.1830555556,53.79,83
29328,57.0072222222,82.0625,24
30612,54.0,103.0666666667,14
29662,55.385,91.6216666667,10
29612,55.3544444444,78.3083333333,49
30636,53.6166666667,109.6333333333,31
29838,53.4333333333,83.5166666667,1
29839,53.5,83.8333333333,1
24263,67.65,134.6833333333,54
24261,67.8,130.3833333333,54
24656,63.5166666667,129.4833333333,54
30457,55.2633333333,113.1388888889,31
29962,53.05,90.9166666667,21
24194,68.55,146.2166666667,54
35125,51.4166666667,56.4166666667,81
31513,50.9166666667,128.4666666667,38
28831,53.9691666667,58.3558333333,83
29745,54.4555555556,86.3486111111,76
24758,62.2666666667,127.0666666667,54
23631,63.9186111111,65.5272222222,6
25677,63.0166666667,179.2833333333,78
24449,65.3,124.166,54
31792,47.7666666667,135.6333333333,77
30934,50.6,107.5833333333,31
29939,52.675,84.9255555556,1
31832,46.8,134.2666666667,77
25147,68.05,166.45,78
31713,48.7333333333,132.95,72
28621,55.4044444444,55.5538888889,83
28138,58.5166666667,58.85,15
31510,50.2802777778,127.4783333333,38
30253,57.8647222222,114.2391666667,14
31958,44.25,135.45,82
31439,52.3833333333,140.4666666667,77
29553,56.2288888889,89.5533333333,10
29282,58.3833333333,97.45,10
30618,53.1333333333,103.7666666667,14
25707,62.0969444444,150.6752777778,63
32562,52.8333333333,156.3,74
35001,52.3833333333,50.4666666667,20
29471,56.895,93.1644444444,10
28593,56.0944444444,74.61,50
31174,54.8333333333,137.5333333333,77
28491,56.9333333333,72.6666666667,50
29464,56.6561111111,90.5886111111,10
29539,55.6666666667,84.4,49
31253,54.7166666667,128.8666666667,38
23884,61.5805555556,90.0305555556,10
30965,50.4,116.5166666667,11
25919,59.1,153.3333333333,63
31521,50.7833333333,129.3333333333,38
30309,56.2833333333,101.75,14
30307,56.3705555556,101.6983333333,14
35041,52.4333333333,60.35,33
25927,59.65,154.2666666667,
28711,54.6319444444,52.8008333333,23
28806,53.6166666667,52.45,81
25034,69.6166666667,162.3,54
25594,64.3833333333,-173.2333333333,78
31348,53.05,136.0333333333,77
28455,56.7166666667,63.7666666667,12
31011,59.6666666667,127.05,54
28909,52.8166666667,52.2166666667,81
21821,72.0041666667,129.1180555556,54
BGZ,54.2000007629,109.5,31
BER,55.2000007629,165.9799957275,
BSH,46.9199981689,142.7299957275,53
30138,58.1,108.6833333333,14
31469,51.1666666667,132.95,77
31532,50.8666666667,132.25,77
28705,54.4166666667,51.1,20
29654,55.2061111111,87.6416666667,76
28799,54.1666666667,74.8,50
28128,58.7666666667,56.2,15
24739,62.2833333333,119.85,54
29602,55.3155555556,76.7522222222,49
30372,56.9,118.2666666667,11
25151,68.8833333333,170.7833333333,78
28645,55.15,61.3,33
36058,51.3875,86.0213888889,70
25941,60.7333333333,163.0166666667,74
23914,60.4,56.5166666667,15
24724,63.0333333333,112.4833333333,54
31371,52.7833333333,126.0,38
28428,56.5,56.1333333333,15
30766,52.5333333333,117.0,11
25123,68.75,161.2833333333,
29393,57.65,99.5333333333,14
30758,52.0833333333,113.4833333333,11
21946,70.6166666667,147.8833333333,54
24538,64.2333333333,116.9166666667,54
24768,62.0333333333,132.6,54
31123,57.7666666667,130.9,54
31939,44.15,133.8666666667,82
30393,56.8333333333,124.8666666667,54
28704,54.4925,50.4127777778,23
29625,55.1,80.9666666667,49
30714,52.1,102.7,14
31873,45.8666666667,133.7333333333,82
24691,63.8333333333,145.6,54
28076,59.6,69.2833333333,35
24076,69.3333333333,139.6666666667,54
32133,47.3333333333,142.8,53
30972,50.8833333333,118.5833333333,11
24826,61.6166666667,114.6166666667,54
31318,53.35,130.0,38
28537,55.7158333333,57.8991666667,83
21908,70.1333333333,113.9666666667,54
30695,53.4666666667,123.9,
24143,68.7333333333,124.0,54
29481,56.8277777778,95.2319444444,10
30089,59.0166666667,121.7666666667,54
DXO,73.5,80.2300033569,
25378,66.3583333333,-179.1166666667,78
24338,66.0333333333,117.4,54
28440,56.8333333333,60.6333333333,12
28445,56.7333333333,61.0666666667,12
31707,47.7447222222,130.9702777778,72
31329,53.0833333333,132.9333333333,38
24361,66.7666666667,131.6,54
25700,62.8,150.6666666667,63
28506,55.7588888889,52.0441666667,23
31733,48.8166666667,135.8833333333,77
23220,67.05,64.07,8
29572,56.1805555556,92.6055555556,10
25356,66.3833333333,173.3333333333,78
29263,58.4527777778,92.2027777778,10
24817,61.2666666667,108.0166666667,14
29869,53.27,92.4033333333,10
30683,53.9666666667,121.9333333333,38
36307,50.2577777778,95.1708333333,58
25820,61.9166666667,159.2166666667,63
28202,58.35,51.5666666667,7
31397,52.45,130.8666666667,38
23909,60.2833333333,54.35,15
28049,59.4333333333,62.3333333333,12
29558,55.5333333333,89.205,10
28214,58.1333333333,52.5833333333,60
20292,77.7130555556,104.2919444444,10
30679,53.1,119.2166666667,11
31489,51.2,136.8,77
30731,52.9861111111,108.2911111111,31
31801,47.6666666667,136.1833333333,77
24525,64.6,112.5166666667,54
31735,48.5283333333,135.1883333333,77
31736,48.5333333333,135.2333333333,77
29816,53.6155555556,79.5533333333,1
29892,53.95,98.8166666667,14
23656,63.3841666667,78.3236111111,69
30815,51.5333333333,103.6,14
23933,61.0277777778,69.1188888889,6
20891,71.9772222222,102.4663888889,10
25767,62.05,175.2833333333,78
24643,63.95,124.8333333333,54
31083,59.9666666667,144.7833333333,77
30844,51.3666666667,110.4666666667,11
31924,44.4333333333,132.0666666667,82
32128,47.05,142.05,53
30739,52.1666666667,109.785,31
23219,67.0422222222,59.4130555556,47
36090,51.12806,93.685,58
31484,51.4166666667,135.0833333333,77
XMS,60.9700012207,69.0699996948,6
HED,80.6200027466,58.0999984741,
32411,55.5833333333,155.5833333333,
